Date,FHHOLDQ_FEDB.IUSA,FHHOLDQ_FEDM.IUSA,FHHOLDQ_FEDS.IUSA,RVBacq,UNBacq,Q3_2010acq,CSBacq,OBacq,Q2_2011acq,GBIacq,FNBSacq,BCSacq,SBIacq,IBCacq,BCCacq,Q3_2016acq
6/30/1910,20333.33003,20333.33003,20333.33003,0,0,0,0,0,0,0,0,0,0,0,0,0
9/30/1910,20444.89857,20444.89857,20444.89857,0,0,0,0,0,0,0,0,0,0,0,0,0
12/31/1910,20548.58198,20548.58198,20548.58198,0,0,0,0,0,0,0,0,0,0,0,0,0
3/31/1911,20647.42928,20647.42928,20647.42928,0,0,0,0,0,0,0,0,0,0,0,0,0
6/30/1911,20744.49919,20744.49919,20744.49919,0,0,0,0,0,0,0,0,0,0,0,0,0
9/30/1911,20842.65276,20842.65276,20842.65276,0,0,0,0,0,0,0,0,0,0,0,0,0
12/31/1911,20943.91904,20943.91904,20943.91904,0,0,0,0,0,0,0,0,0,0,0,0,0
3/31/1912,21050.12622,21050.12622,21050.12622,0,0,0,0,0,0,0,0,0,0,0,0,0
6/30/1912,21163.10687,21163.10687,21163.10687,0,0,0,0,0,0,0,0,0,0,0,0,0
9/30/1912,21284.05921,21284.05921,21284.05921,0,0,0,0,0,0,0,0,0,0,0,0,0
12/31/1912,21411.60808,21411.60808,21411.60808,0,0,0,0,0,0,0,0,0,0,0,0,0
3/31/1913,21543.7253,21543.7253,21543.7253,0,0,0,0,0,0,0,0,0,0,0,0,0
6/30/1913,21678.3774,21678.3774,21678.3774,0,0,0,0,0,0,0,0,0,0,0,0,0
9/30/1913,21813.45668,21813.45668,21813.45668,0,0,0,0,0,0,0,0,0,0,0,0,0
12/31/1913,21946.6015,21946.6015,21946.6015,0,0,0,0,0,0,0,0,0,0,0,0,0
3/31/1914,22075.37921,22075.37921,22075.37921,0,0,0,0,0,0,0,0,0,0,0,0,0
6/30/1914,22197.3427,22197.3427,22197.3427,0,0,0,0,0,0,0,0,0,0,0,0,0
9/30/1914,22310.84251,22310.84251,22310.84251,0,0,0,0,0,0,0,0,0,0,0,0,0
12/31/1914,22417.44617,22417.44617,22417.44617,0,0,0,0,0,0,0,0,0,0,0,0,0
